Name;Relatiecode
De Philippepoort 1;H219
De Philippepoort 2 (000134);H220
Royale (000393);H221
Het Gruunhof (000585);H222
Servaas Blok A (000406);H223
Saffier (000395);H224
Sonnevank BREE (000429);H225
Hoefstad (000239);H226
Schutstraat (000405);H227
Sint Servatius (000415);H228
Kermeta Uitbreiding 1 (000270);H229
Boonaerts (000057);H230
Kermeta Uitbreiding 2 (000271);H231
Korspelhoef (000281);H232
De Dry Croonen (000106);H233
Ecodroom C1 (000598);H234
De Smisse B2 (000144);H235
Brusello XL;H236
Singapore (000412);H237
Het Pleintje (000236);H238
Victoria (000481);H239
Nieuwe Halveweg (000342);H240
't Duifhuis (000003);H241
De Brouwerij Fase II en III (000097);H242
Ecodroom blok ABIS (000176);H243
Ensor (000193);H244
Eikenstraat 3 (000185);H245
Maialis (000315);H246
Saint- Paul (000398);H247
Harpstraat 13 (000223);H248
Da Vinci (000083);H249
Bosweg (000058);H250
WNZ 170 (000515);H251
Klokkehof (000274);H252
Muggenstraat 40-48 (000574);H253
De Smisse C1 (000145);H254
Roma (000391);H255
VERENIGING VAN MEDE-EIGENAARS RESIDENTIE ROMA TE TURNHOUT KORTE VIANENSTRAAT 35;H255
Kampveld (000591);H256
VME Kampveld;H256
Kapittel;H257
Kapittel (000261);H257
Hovenstraat 28 (000244);H258
De Dageraad (000100);H259
Villa Gotha (000485);H260
Monte Nero (000578);H261
Hasluth;H262
Vereniging van Mede-eigenaars Residentie Hasluth te 3500 Hasselt, Toekomststraat 2/ Guffenslaan 25;H262
Meybroek (000589);H263
Schalbroekstraat (000402);H264
Servaas Garages (000409);H265
Bollen (000593);H266
Solier (000426);H267
Dorpstraat Hasselt (000172);H268
Victor (000601);H269
EMI (000190);H270
Vallau (000610);H271
Vangansen (000470);H272
Herestraat (000604);H273
Eersels 115-119 (000607);H274
Vesalius (000831);H275
Vesalius;H275
Den Tember (000606);H276
Aldestraat 15 (000020);H277
PetiteFleur (000608);H278
Domein Kasteel Nieuwenhoven (000166);H279
Rederijkerstraat (000614);H280
Plaza Portugal (000623);H281
Pallenhoven (000627);H282
Metropool (000638);H283
De Herk (000240);H284
Krokus (000636);H285
Domus (000168);H286
Catharina (000073);H287
Kruisveld (000637);H288
Ecodroom C2 (000177);H289
Hemmen (000654);H290
Bruyere (000661);H291
Calypso (000065);H292
Ten Eyck (000447);H293
Ta�ga (000674);H294
Ta?ga (000674);H294
Vlindersstraat (000495);H295
Zilverberkstaete (000520);H296
Woonerf Luca (000671);H299
Nopri (000835);H300
Vereniging van Mede-eigenaars Residentie Voorbouw Nopri te 3590 Diepenbeek, Wijkstraat 27-29-31;H300
Sint-Lucia (000419);H301
Hazelare (000826);H302
Hazelare;H302
Blue Lofts (000053);H303
Kasteel Nieuwenhoven Nieuw;H304
Domein Kasteel Nieuwenhoven (000166);H304
Hofeinde;H305
Brannekes;H306
Laro 2;H307
Asgard;H308
Vereniging van Mede-eigenaars Residentie Asgard te Tienen, hoek Gilainstraat en Waaibergstraat;H308
Georges;H309
Casa La Cantus;H310
Maria (000836);H311
Kempische Steenweg 308;H314
Molenveld (000336);L001
Tessenhof II;L002
Tessenhof II (000456);L002
Justus Lipsius (Overijse) (000254);L003
Blandenstraat 77- (000051);L004
blandenstraat 77;L004
Tela (000446);L005
Barbarahof D5 (000037);L008
Begijnhofschool (000043);L009
Breezes (000061);L010
Daphne (000085);L011
De Apotheek (000086);L012
De Latten (000118);L013
De Wandeleer (000152);L014
Lindepark (000303);L015
Fontane (000199);L016
Hageland (000218);L017
Kapitein Gilson (000260);L018
Kensington (000267);L019
Aurum (000619);L020
Lat 1 (000290);L021
Lat 3 (000291);L022
Lat 4 (000292);L023
Lat 5 (000293);L024
Leuvensesteenweg (000300);L025
Minnepoort (000330);L026
Oxford & Cambridge (000359);L027
Berkenhof (000579);L028
Den Tympel (000161);L029
Rio (000384);L030
Tiensestraat 94 (000461);L031
Tiensestraat 147 (garages)- (000460);L032
Vilvoorde - Steenvoorde (000489);L033
Gemeentestraat 246 (000206);L035
PIT (000375);L036
Roerstok I (000389);L037
Leigracht (000296);L038
Roerstok III (000390);L039
Laloux (000288);L040
Hombroeckx (000242);L041
Lido Paradiso (000670);L043
Lotus (000308);L044
De Vijvers (000150);L045
Saspark II (000401);L046
Haachtsesteenweg 508-510 (000217);L047
Haachtsesteenweg 506 (000216);L048
Edward Van Evenstraat 25 (000180);L049
Mathilde (000322);L050
Fontes II (000200);L051
Vriesenpoort (000498);L052
Edouard Remyvest (000179);L053
Ter Wilgen (000454);L054
Pegase (000372);L055
The Kwint (000459);L056
Steenweg op Nieuwrode (000440);L057
Interbellum (000246);L058
Vesalius - Gebouw A (000473);L059
Vesalius - Gebouw BCD (000474);L061
Vesalius - Gebouw GHI (000475);L062
Vesalius - Gebouw T (000477);L064
Vesalius - Hoofdvereniging (000478);L065
Vesalius - Ondergrondse parkings (000479);L066
't Witte Huis (000010);L067
4 Winden (000011);L068
Michelangelo (000328);L069
Marteau Longe 1 (000321);L070
Josephina (000251);L071
Corbie (000081);L073
Joly Vent (000250);L074
Vrouwley (000499);L075
Maarten (000313);L076
Leo (000298);L077
Mimosa (000329);L080
Lisette (000305);L081
Memling (000326);L082
Paulus (000371);L083
Saffranenbergstraat (000396);L084
